Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Category,Organizer,MatchStage,Date_clean,Date_Year,Result_clean,Goals1,Goals2,Goals_Team,Goals_Opponent,Decision,Play_Position_clean,Minute_clean
2011/2012,LaLiga,1,1/22/12,H,Real Madrid,Athletic Bilbao,4:01,LW,67,3:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-01-22,2012,4:01,4,1,4,1,Normal,LW,67
2011/2012,Copa del Rey,Quarter-Finals,1/25/12,A,Real Madrid,FC Barcelona,2:02,LW,68,2:01,Right-footed shot,Mesut Ozil,National Cups,Spanish Football Federation (RFEF),Stage,2012-01-25,2012,2:02,2,2,2,2,Normal,LW,68
2011/2012,LaLiga,21,1/28/12,H,Real Madrid,Real Zaragoza,3:01,LW,48,2:01,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-01-28,2012,3:01,3,1,3,1,Normal,LW,48
2011/2012,LaLiga,23,02-12-12,H,Real Madrid,Levante UD,4:02,LW,45,1:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-02-12,2012,4:02,4,2,4,2,Normal,LW,45
2011/2012,LaLiga,23,02-12-12,H,Real Madrid,Levante UD,4:02,LW,50,2:01,Header,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-02-12,2012,4:02,4,2,4,2,Normal,LW,50
2011/2012,LaLiga,23,02-12-12,H,Real Madrid,Levante UD,4:02,LW,57,3:01,Right-footed shot,Fabio CoentrÃ£o,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-02-12,2012,4:02,4,2,4,2,Normal,LW,57
2011/2012,LaLiga,24,2/18/12,H,Real Madrid,Racing Santander,4:00,LW,6,1:00,Header,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-02-18,2012,4:00,4,0,4,0,Normal,LW,6
2011/2012,UEFA Champions League,Last 16,2/21/12,A,Real Madrid,CSKA Moscow,1:01,LW,28,0:01,Left-footed shot,Fabio CoentrÃ£o,International,UEFA,Stage,2012-02-21,2012,1:01,1,1,1,1,Normal,LW,28
2011/2012,LaLiga,25,2/26/12,A,Real Madrid,Rayo Vallecano,0:01,LW,53,0:01,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-02-26,2012,0:01,0,1,1,0,Normal,LW,53
2011/2012,LaLiga,26,03-04-12,H,Real Madrid,RCD Espanyol Barcelona,5:00,LW,23,1:00,Left-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-04,2012,5:00,5,0,5,0,Normal,LW,23
2011/2012,LaLiga,27,03-10-12,A,Real Madrid,Real Betis Balompie,2:03,LW,52,1:02,Left-footed shot,Marcelo,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-10,2012,2:03,2,3,3,2,Normal,LW,52
2011/2012,LaLiga,27,03-10-12,A,Real Madrid,Real Betis Balompie,2:03,LW,73,2:03,Left-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-10,2012,2:03,2,3,3,2,Normal,LW,73
2011/2012,UEFA Champions League,Last 16,3/14/12,H,Real Madrid,CSKA Moscow,4:01,LW,55,2:00,Right-footed shot,Sergio Ramos,International,UEFA,Stage,2012-03-14,2012,4:01,4,1,4,1,Normal,LW,55
2011/2012,UEFA Champions League,Last 16,3/14/12,H,Real Madrid,CSKA Moscow,4:01,LW,90+4,4:01,Right-footed shot,Karim Benzema,International,UEFA,Stage,2012-03-14,2012,4:01,4,1,4,1,Normal,LW,94
2011/2012,LaLiga,29,3/21/12,A,Real Madrid,Villarreal CF,1:01,LW,61,0:01,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-21,2012,1:01,1,1,1,1,Normal,LW,61
2011/2012,LaLiga,30,3/24/12,H,Real Madrid,Real Sociedad,5:01,LW,32,2:00,Right-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-24,2012,5:01,5,1,5,1,Normal,LW,32
2011/2012,LaLiga,30,3/24/12,H,Real Madrid,Real Sociedad,5:01,LW,55,5:01,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-24,2012,5:01,5,1,5,1,Normal,LW,55
2011/2012,LaLiga,31,3/31/12,A,Real Madrid,CA Osasuna,1:05,LW,37,0:02,Long distance kick,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-31,2012,1:05,1,5,5,1,Normal,LW,37
2011/2012,LaLiga,31,3/31/12,A,Real Madrid,CA Osasuna,1:05,LW,70,1:04,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-03-31,2012,1:05,1,5,5,1,Normal,LW,70
2011/2012,UEFA Champions League,Quarter-Finals,04-04-12,H,Real Madrid,APOEL Nicosia,5:02,LW,26,1:00,Right-footed shot,Marcelo,International,UEFA,Stage,2012-04-04,2012,5:02,5,2,5,2,Normal,LW,26
2011/2012,UEFA Champions League,Quarter-Finals,04-04-12,H,Real Madrid,APOEL Nicosia,5:02,LW,75,3:01,Direct free kick,No assist,International,UEFA,Stage,2012-04-04,2012,5:02,5,2,5,2,Normal,LW,75
2011/2012,LaLiga,33,04-11-12,A,Real Madrid,Atletico de Madrid,1:04,LW,24,0:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-11,2012,1:04,1,4,4,1,Normal,LW,24
2011/2012,LaLiga,33,04-11-12,A,Real Madrid,Atletico de Madrid,1:04,LW,67,1:02,Long distance kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-11,2012,1:04,1,4,4,1,Normal,LW,67
2011/2012,LaLiga,33,04-11-12,A,Real Madrid,Atletico de Madrid,1:04,LW,82,1:03,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-11,2012,1:04,1,4,4,1,Normal,LW,82
2011/2012,LaLiga,34,4/14/12,H,Real Madrid,Sporting GijÃ³n,3:01,LW,74,2:01,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-14,2012,3:01,3,1,3,1,Normal,LW,74
2011/2012,LaLiga,35,4/21/12,A,Real Madrid,FC Barcelona,1:02,LW,73,1:02,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-21,2012,1:02,1,2,2,1,Normal,LW,73
2011/2012,UEFA Champions League,Semi-Finals,4/25/12,H,Real Madrid,Bayern Munich,3:4 on pens,LW,6,1:00,Penalty,No assist,International,UEFA,Stage,2012-04-25,2012,3:4,3,4,3,4,Penalties,LW,6
2011/2012,UEFA Champions League,Semi-Finals,4/25/12,H,Real Madrid,Bayern Munich,3:4 on pens,LW,14,2:00,Right-footed shot,Mesut Ozil,International,UEFA,Stage,2012-04-25,2012,3:4,3,4,3,4,Penalties,LW,14
2011/2012,LaLiga,36,4/29/12,H,Real Madrid,Sevilla FC,3:00,LW,19,1:00,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-04-29,2012,3:00,3,0,3,0,Normal,LW,19
2011/2012,LaLiga,20,05-02-12,A,Real Madrid,Athletic Bilbao,0:03,LW,49,0:03,Header,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-05-02,2012,0:03,0,3,3,0,Normal,LW,49
2011/2012,LaLiga,37,05-05-12,A,Real Madrid,Granada CF,1:02,LW,81,1:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-05-05,2012,1:02,1,2,2,1,Normal,LW,81
2011/2012,LaLiga,38,5/13/12,H,Real Madrid,RCD Mallorca,4:01,LW,18,1:00,Header,Marcelo,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-05-13,2012,4:01,4,1,4,1,Normal,LW,18
2012/2013,Supercopa,Final,8/23/12,A,Real Madrid,FC Barcelona,3:02,LW,55,0:01,Header,Mesut Ozil,National SuperCups,Spanish Football Federation (RFEF),Stage,2012-08-23,2012,3:02,3,2,2,3,Normal,LW,55
2012/2013,Supercopa,Final,8/29/12,H,Real Madrid,FC Barcelona,2:01,LW,19,2:00,Right-footed shot,Sami Khedira,National SuperCups,Spanish Football Federation (RFEF),Stage,2012-08-29,2012,2:01,2,1,2,1,Normal,LW,19
2012/2013,LaLiga,3,09-02-12,H,Real Madrid,Granada CF,3:00,LW,25,1:00,Right-footed shot,Jose CallejÃ³n,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-02,2012,3:00,3,0,3,0,Normal,LW,25
2012/2013,LaLiga,3,09-02-12,H,Real Madrid,Granada CF,3:00,LW,53,2:00,Left-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-02,2012,3:00,3,0,3,0,Normal,LW,53
2012/2013,UEFA Champions League,Group Stage,9/18/12,H,Real Madrid,Manchester City,3:02,LW,90,3:02,Right-footed shot,Marcelo,International,UEFA,Stage,2012-09-18,2012,3:02,3,2,3,2,Normal,LW,90
2012/2013,LaLiga,5,9/24/12,A,Real Madrid,Rayo Vallecano,0:02,LW,69,0:02,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-24,2012,0:02,0,2,2,0,Normal,LW,69
2012/2013,LaLiga,6,9/30/12,H,Real Madrid,Deportivo de La CoruÃ±a,5:01,LW,23,1:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-30,2012,5:01,5,1,5,1,Normal,LW,23
2012/2013,LaLiga,6,9/30/12,H,Real Madrid,Deportivo de La CoruÃ±a,5:01,LW,44,3:01,Header,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-30,2012,5:01,5,1,5,1,Normal,LW,44
2012/2013,LaLiga,6,9/30/12,H,Real Madrid,Deportivo de La CoruÃ±a,5:01,LW,84,5:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-09-30,2012,5:01,5,1,5,1,Normal,LW,84
2012/2013,UEFA Champions League,Group Stage,10-03-12,A,Real Madrid,Ajax Amsterdam,1:04,LW,42,0:01,Right-footed shot,Karim Benzema,International,UEFA,Stage,2012-10-03,2012,1:04,1,4,4,1,Normal,LW,42
2012/2013,UEFA Champions League,Group Stage,10-03-12,A,Real Madrid,Ajax Amsterdam,1:04,LW,79,1:03,Right-footed shot,Karim Benzema,International,UEFA,Stage,2012-10-03,2012,1:04,1,4,4,1,Normal,LW,79
2012/2013,UEFA Champions League,Group Stage,10-03-12,A,Real Madrid,Ajax Amsterdam,1:04,LW,81,1:04,Left-footed shot,Sami Khedira,International,UEFA,Stage,2012-10-03,2012,1:04,1,4,4,1,Normal,LW,81
2012/2013,LaLiga,7,10-07-12,A,Real Madrid,FC Barcelona,2:02,LW,22,0:01,Left-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-10-07,2012,2:02,2,2,2,2,Normal,LW,22
2012/2013,LaLiga,7,10-07-12,A,Real Madrid,FC Barcelona,2:02,LW,66,2:02,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-10-07,2012,2:02,2,2,2,2,Normal,LW,66
2012/2013,LaLiga,8,10/20/12,H,Real Madrid,Celta de Vigo,2:00,LW,67,2:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-10-20,2012,2:00,2,0,2,0,Normal,LW,67
2012/2013,UEFA Champions League,Group Stage,10/24/12,A,Real Madrid,Borussia Dortmund,2:01,LW,38,1:01,Right-footed shot,Mesut Ozil,International,UEFA,Stage,2012-10-24,2012,2:01,2,1,1,2,Normal,LW,38
2012/2013,LaLiga,9,10/28/12,A,Real Madrid,RCD Mallorca,0:05,LW,22,0:02,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-10-28,2012,0:05,0,5,5,0,Normal,LW,22
2012/2013,LaLiga,9,10/28/12,A,Real Madrid,RCD Mallorca,0:05,LW,73,0:04,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-10-28,2012,0:05,0,5,5,0,Normal,LW,73
2012/2013,LaLiga,11,11-11-12,A,Real Madrid,Levante UD,1:02,CF,20,0:01,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-11-11,2012,1:02,1,2,2,1,Normal,CF,20
2012/2013,LaLiga,14,12-01-12,H,Real Madrid,Atletico de Madrid,2:00,LW,16,1:00,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-12-01,2012,2:00,2,0,2,0,Normal,LW,16
2012/2013,UEFA Champions League,Group Stage,12-04-12,H,Real Madrid,Ajax Amsterdam,4:01,LW,13,1:00,Right-footed shot,Karim Benzema,International,UEFA,Stage,2012-12-04,2012,4:01,4,1,4,1,Normal,LW,13
2012/2013,Copa del Rey,Last 16,12-12-12,A,Real Madrid,Celta de Vigo,2:01,LW,87,2:01,Left-footed shot,Xabi Alonso,National Cups,Spanish Football Federation (RFEF),Stage,2012-12-12,2012,2:01,2,1,1,2,Normal,LW,87
2012/2013,LaLiga,16,12/16/12,H,Real Madrid,RCD Espanyol Barcelona,2:02,CF,45,1:01,Right-footed shot,Sami Khedira,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-12-16,2012,2:02,2,2,2,2,Normal,CF,45
2012/2013,LaLiga,18,01-06-13,H,Real Madrid,Real Sociedad,4:03,LW ,67,3:02,Left-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-06,2013,4:03,4,3,4,3,Normal,LW,67
2012/2013,LaLiga,18,01-06-13,H,Real Madrid,Real Sociedad,4:03,LW ,70,4:02,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-06,2013,4:03,4,3,4,3,Normal,LW,70
2012/2013,Copa del Rey,Last 16,01-09-13,H,Real Madrid,Celta de Vigo,4:00,LW,2,1:00,Right-footed shot,alvaro Arbeloa,National Cups,Spanish Football Federation (RFEF),Stage,2013-01-09,2013,4:00,4,0,4,0,Normal,LW,2
2012/2013,Copa del Rey,Last 16,01-09-13,H,Real Madrid,Celta de Vigo,4:00,LW,24,2:00,Left-footed shot,Luka Modric,National Cups,Spanish Football Federation (RFEF),Stage,2013-01-09,2013,4:00,4,0,4,0,Normal,LW,24
2012/2013,Copa del Rey,Last 16,01-09-13,H,Real Madrid,Celta de Vigo,4:00,LW,87,3:00,Left-footed shot,Gonzalo Higuain,National Cups,Spanish Football Federation (RFEF),Stage,2013-01-09,2013,4:00,4,0,4,0,Normal,LW,87
2012/2013,LaLiga,20,1/20/13,A,Real Madrid,Valencia CF,0:05,LW,35,0:03,Left-footed shot,Fabio CoentrÃ£o,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-20,2013,0:05,0,5,5,0,Normal,LW,35
2012/2013,LaLiga,20,1/20/13,A,Real Madrid,Valencia CF,0:05,LW,41,0:04,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-20,2013,0:05,0,5,5,0,Normal,LW,41
2012/2013,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:00,LW,62,2:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-27,2013,4:00,4,0,4,0,Normal,LW,62
2012/2013,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:00,LW,65,3:00,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-27,2013,4:00,4,0,4,0,Normal,LW,65
2012/2013,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:00,LW,72,4:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-01-27,2013,4:00,4,0,4,0,Normal,LW,72
2012/2013,LaLiga,23,02-09-13,H,Real Madrid,Sevilla FC,4:01,LW,26,2:00,Left-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-02-09,2013,4:01,4,1,4,1,Normal,LW,26
2012/2013,LaLiga,23,02-09-13,H,Real Madrid,Sevilla FC,4:01,LW,46,3:00,Left-footed shot,alvaro Arbeloa,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-02-09,2013,4:01,4,1,4,1,Normal,LW,46
2012/2013,LaLiga,23,02-09-13,H,Real Madrid,Sevilla FC,4:01,LW,59,4:00,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-02-09,2013,4:01,4,1,4,1,Normal,LW,59
2012/2013,UEFA Champions League,Last 16,2/13/13,H,Real Madrid,Manchester United,1:01,LW,30,1:01,Header,Angel Di Maria,International,UEFA,Stage,2013-02-13,2013,1:01,1,1,1,1,Normal,LW,30
2012/2013,Copa del Rey,Semi-Finals,2/26/13,A,Real Madrid,FC Barcelona,1:03,LW,12,0:01,Penalty,No assist,National Cups,Spanish Football Federation (RFEF),Stage,2013-02-26,2013,1:03,1,3,3,1,Normal,LW,12
2012/2013,Copa del Rey,Semi-Finals,2/26/13,A,Real Madrid,FC Barcelona,1:03,LW,57,0:02,Left-footed shot,No assist,National Cups,Spanish Football Federation (RFEF),Stage,2013-02-26,2013,1:03,1,3,3,1,Normal,LW,57
2012/2013,UEFA Champions League,Last 16,03-05-13,A,Real Madrid,Manchester United,1:02,LW,69,1:02,Right-footed shot,Gonzalo Higuain,International,UEFA,Stage,2013-03-05,2013,1:02,1,2,2,1,Normal,LW,69
2012/2013,LaLiga,27,03-10-13,A,Real Madrid,Celta de Vigo,1:02,LW,61,0:01,Left-footed shot,Jose CallejÃ³n,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-03-10,2013,1:02,1,2,2,1,Normal,LW,61
2012/2013,LaLiga,27,03-10-13,A,Real Madrid,Celta de Vigo,1:02,LW,71,1:02,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-03-10,2013,1:02,1,2,2,1,Normal,LW,71
2012/2013,LaLiga,28,3/16/13,H,Real Madrid,RCD Mallorca,5:02,LW,52,2:02,Header,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-03-16,2013,5:02,5,2,5,2,Normal,LW,52
2012/2013,LaLiga,29,3/30/13,A,Real Madrid,Real Zaragoza,1:01,LW,38,1:01,Long distance kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-03-30,2013,1:01,1,1,1,1,Normal,LW,38
2012/2013,UEFA Champions League,Quarter-Finals,04-03-13,H,Real Madrid,Galatasaray,3:00,LW,9,1:00,Left-footed shot,Mesut Ozil,International,UEFA,Stage,2013-04-03,2013,3:00,3,0,3,0,Normal,LW,9
2012/2013,LaLiga,30,04-06-13,H,Real Madrid,Levante UD,5:01,CF,84,3:01,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-04-06,2013,5:01,5,1,5,1,Normal,CF,84
2012/2013,UEFA Champions League,Quarter-Finals,04-09-13,A,Real Madrid,Galatasaray,3:02,LW,8,0:01,Right-footed shot,Sami Khedira,International,UEFA,Stage,2013-04-09,2013,3:02,3,2,2,3,Normal,LW,8
2012/2013,UEFA Champions League,Quarter-Finals,04-09-13,A,Real Madrid,Galatasaray,3:02,LW,90+2,3:02,Right-footed shot,Karim Benzema,International,UEFA,Stage,2013-04-09,2013,3:02,3,2,2,3,Normal,LW,92
2012/2013,LaLiga,31,4/14/13,A,Real Madrid,Athletic Bilbao,0:03,LW,2,0:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-04-14,2013,0:03,0,3,3,0,Normal,LW,2
2012/2013,LaLiga,31,4/14/13,A,Real Madrid,Athletic Bilbao,0:03,LW,68,0:02,Header,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-04-14,2013,0:03,0,3,3,0,Normal,LW,68
2012/2013,UEFA Champions League,Semi-Finals,4/24/13,A,Real Madrid,Borussia Dortmund,4:01,LW,43,1:01,Right-footed shot,Gonzalo Higuain,International,UEFA,Stage,2013-04-24,2013,4:01,4,1,1,4,Normal,LW,43
2012/2013,LaLiga,34,05-04-13,H,Real Madrid,Real Valladolid CF,4:03,LW,32,2:01,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-05-04,2013,4:03,4,3,4,3,Normal,LW,32
2012/2013,LaLiga,34,05-04-13,H,Real Madrid,Real Valladolid CF,4:03,LW,70,4:02,Header,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-05-04,2013,4:03,4,3,4,3,Normal,LW,70
2012/2013,LaLiga,36,05-08-13,H,Real Madrid,Malaga CF,6:02,LW ,26,2:01,Right-footed shot,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-05-08,2013,6:02,6,2,6,2,Normal,LW,26
2012/2013,Copa del Rey,Final,5/17/13,A,Real Madrid,Atletico de Madrid,2:1 AET,LW,14,0:01,Header,Luka Modric,National Cups,Spanish Football Federation (RFEF),Stage,2013-05-17,2013,2:1,2,1,1,2,After Extra Time,LW,14
2013/2014,LaLiga,3,09-01-13,H,Real Madrid,Athletic Bilbao,3:01,LW,45,2:00,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-01,2013,3:01,3,1,3,1,Normal,LW,45
2013/2014,LaLiga,4,9/14/13,A,Real Madrid,Villarreal CF,2:02,LW,64,1:02,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-14,2013,2:02,2,2,2,2,Normal,LW,64
2013/2014,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:06,LW,63,0:03,Left-footed shot,Isco,International,UEFA,Stage,2013-09-17,2013,1:06,1,6,6,1,Normal,LW,63
2013/2014,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:06,LW,66,0:04,Tap-in,Sergio Ramos,International,UEFA,Stage,2013-09-17,2013,1:06,1,6,6,1,Normal,LW,66
2013/2014,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:06,LW,90,1:06,Left-footed shot,Karim Benzema,International,UEFA,Stage,2013-09-17,2013,1:06,1,6,6,1,Normal,LW,90
2013/2014,LaLiga,5,9/22/13,H,Real Madrid,Getafe CF,4:01,LW,34,2:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-22,2013,4:01,4,1,4,1,Normal,LW,34
2013/2014,LaLiga,5,9/22/13,H,Real Madrid,Getafe CF,4:01,LW,90,4:01,Right-footed shot,Sami Khedira,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-22,2013,4:01,4,1,4,1,Normal,LW,90
2013/2014,LaLiga,6,9/25/13,A,Real Madrid,Elche CF,1:02,LW,51,0:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-25,2013,1:02,1,2,2,1,Normal,LW,51
2013/2014,LaLiga,6,9/25/13,A,Real Madrid,Elche CF,1:02,LW,90+6,1:02,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-09-25,2013,1:02,1,2,2,1,Normal,LW,96
2013/2014,UEFA Champions League,Group Stage,10-02-13,H,Real Madrid,FC Copenhagen,4:00,LW,21,1:00,Header,Marcelo,International,UEFA,Stage,2013-10-02,2013,4:00,4,0,4,0,Normal,LW,21
2013/2014,UEFA Champions League,Group Stage,10-02-13,H,Real Madrid,FC Copenhagen,4:00,LW,65,2:00,Header,Angel Di Maria,International,UEFA,Stage,2013-10-02,2013,4:00,4,0,4,0,Normal,LW,65
2013/2014,LaLiga,8,10-05-13,A,Real Madrid,Levante UD,2:03,LW,90+4,2:03,Right-footed shot,Luka Modric,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-10-05,2013,2:03,2,3,3,2,Normal,LW,94
2013/2014,LaLiga,9,10/19/13,H,Real Madrid,Malaga CF,2:00,LW,90+1,2:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-10-19,2013,2:00,2,0,2,0,Normal,LW,91
2013/2014,UEFA Champions League,Group Stage,10/23/13,H,Real Madrid,Juventus FC,2:01,LW,4,1:00,Right-footed shot,Angel Di Maria,International,UEFA,Stage,2013-10-23,2013,2:01,2,1,2,1,Normal,LW,4
2013/2014,UEFA Champions League,Group Stage,10/23/13,H,Real Madrid,Juventus FC,2:01,LW,29,2:01,Penalty,No assist,International,UEFA,Stage,2013-10-23,2013,2:01,2,1,2,1,Normal,LW,29
2013/2014,LaLiga,11,10/30/13,H,Real Madrid,Sevilla FC,7:03,LW,31,3:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-10-30,2013,7:03,7,3,7,3,Normal,LW,31
2013/2014,LaLiga,11,10/30/13,H,Real Madrid,Sevilla FC,7:03,LW,60,5:02,Right-footed shot,Gareth Bale,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-10-30,2013,7:03,7,3,7,3,Normal,LW,60
2013/2014,LaLiga,11,10/30/13,H,Real Madrid,Sevilla FC,7:03,LW,71,6:03,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-10-30,2013,7:03,7,3,7,3,Normal,LW,71
2013/2014,LaLiga,12,11-02-13,A,Real Madrid,Rayo Vallecano,2:03,LW,3,0:01,Right-footed shot,Luka Modric,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-02,2013,2:03,2,3,3,2,Normal,LW,3
2013/2014,LaLiga,12,11-02-13,A,Real Madrid,Rayo Vallecano,2:03,LW,48,0:03,Right-footed shot,Gareth Bale,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-02,2013,2:03,2,3,3,2,Normal,LW,48
2013/2014,UEFA Champions League,Group Stage,11-05-13,A,Real Madrid,Juventus FC,2:02,LW,52,1:01,Right-footed shot,Karim Benzema,International,UEFA,Stage,2013-11-05,2013,2:02,2,2,2,2,Normal,LW,52
2013/2014,LaLiga,13,11-09-13,H,Real Madrid,Real Sociedad,5:01,LW,12,1:00,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-09,2013,5:01,5,1,5,1,Normal,LW,12
2013/2014,LaLiga,13,11-09-13,H,Real Madrid,Real Sociedad,5:01,LW,27,3:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-09,2013,5:01,5,1,5,1,Normal,LW,27
2013/2014,LaLiga,13,11-09-13,H,Real Madrid,Real Sociedad,5:01,LW,76,5:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-09,2013,5:01,5,1,5,1,Normal,LW,76
2013/2014,LaLiga,14,11/23/13,A,Real Madrid,UD Almeria,0:05,LW,3,0:01,Left-footed shot,Isco,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-11-23,2013,0:05,0,5,5,0,Normal,LW,3
2013/2014,UEFA Champions League,Group Stage,12-10-13,A,Real Madrid,FC Copenhagen,0:02,LW,48,0:02,Right-footed shot,Pepe,International,UEFA,Stage,2013-12-10,2013,0:02,0,2,2,0,Normal,LW,48
2013/2014,LaLiga,17,12/22/13,A,Real Madrid,Valencia CF,2:03,LW,40,1:02,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2013-12-22,2013,2:03,2,3,3,2,Normal,LW,40
2013/2014,LaLiga,18,01-06-14,H,Real Madrid,Celta de Vigo,3:00,LW,82,2:00,Right-footed shot,Daniel Carvajal,National Leagues,Spanish Football Federation (RFEF),Matchday,2014-01-06,2014,3:00,3,0,3,0,Normal,LW,82
